epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0593,2.23592,6.35464,1.71738,0.02093,0.27612,0.02915,0.01511,2.28315,4.4243,1.94994,1.334e-05,1.334e-05,1.334e-05
2,30.0339,2.30271,5.20132,1.77712,0.02957,0.27543,0.04132,0.02481,2.27957,4.37085,1.90021,3.26897e-05,3.26897e-05,3.26897e-05
3,45.31,2.13335,4.45318,1.60946,0.64165,0.11563,0.08494,0.05936,2.20946,4.57763,1.85039,5.12469e-05,5.12469e-05,5.12469e-05
4,60.2096,1.88082,4.01673,1.44393,0.52135,0.13865,0.11228,0.07379,2.19623,4.76874,1.85108,6.90118e-05,6.90118e-05,6.90118e-05
5,74.7723,1.78413,3.34031,1.42167,0.63167,0.09351,0.13073,0.08693,2.10452,4.36071,1.75756,8.59843e-05,8.59843e-05,8.59843e-05
6,89.8135,1.73487,2.83118,1.36166,0.7638,0.1268,0.20743,0.13532,2.06001,3.87717,1.69816,0.000102164,0.000102164,0.000102164
7,105.045,1.46658,2.43029,1.2259,0.35256,0.28642,0.23118,0.14132,1.85257,3.58368,1.56019,0.000117552,0.000117552,0.000117552
8,120.663,1.51813,2.6191,1.33626,0.3635,0.30141,0.24583,0.1479,1.70241,3.27084,1.46273,0.000132147,0.000132147,0.000132147
9,135.732,1.47077,2.30127,1.27753,0.58408,0.30892,0.29071,0.18018,1.5565,2.81107,1.33639,0.00014595,0.00014595,0.00014595
10,150.617,1.25951,1.91899,1.23882,0.71338,0.33113,0.32963,0.19211,1.51378,2.59036,1.29431,0.000158961,0.000158961,0.000158961
11,165.485,1.2349,1.82967,1.15272,0.66886,0.43984,0.4097,0.25398,1.35937,2.33041,1.18275,0.000171179,0.000171179,0.000171179
