class_id,class_name,mean_iou,std_iou,count
0,cabina,0.8887236119749435,0.02619643149656714,2
1,salon,0.9208571682176803,0.023099799898162673,8
2,vestibulo,0.8263090326302095,0.07541248162507906,12
3,wc_normal,0.9031564315578453,0.038407461556680865,5
4,bufet,0.9119645077896117,0.0023056298688319266,2
5,fuelles,0.8169784882425569,0.06456624829510028,9
6,anexo,0.08118340217982324,0.0,1
7,bicicletas,,,0
8,personal,,,0
9,wc_pmr,0.8482532751091703,0.0,1
10,corredor,0.8804856759155797,0.043277400552246395,3
