epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.40402,2.76312,6.27192,1.95795,0.67219,0.125,0.10357,0.05427,2.38015,4.29585,2.06929,6.67e-06,6.67e-06,6.67e-06
2,14.6426,2.05253,5.43844,1.72579,0.60182,0.125,0.17759,0.10892,2.41253,4.20844,2.06773,1.96138e-05,1.96138e-05,1.96138e-05
3,22.0304,2.03992,4.94332,1.6974,0.73638,0.125,0.17935,0.10014,2.39805,4.11886,2.04066,3.20293e-05,3.20293e-05,3.20293e-05
4,29.0103,2.24676,4.47009,1.56308,0.73843,0.125,0.19231,0.10937,2.28733,4.16125,1.95786,4.39166e-05,4.39166e-05,4.39166e-05
5,36.0723,2.24444,4.21935,1.62758,0.30911,0.29688,0.23607,0.13402,2.22188,4.29954,1.9135,5.52756e-05,5.52756e-05,5.52756e-05
6,43.3802,2.36631,3.99858,1.76202,0.39127,0.44275,0.31481,0.19532,2.21268,4.35954,1.89278,6.61064e-05,6.61064e-05,6.61064e-05
7,50.4326,2.32749,4.09856,1.86186,0.3159,0.37894,0.29341,0.18434,2.06956,4.20854,1.75786,7.64089e-05,7.64089e-05,7.64089e-05
8,57.4985,1.80358,2.91048,1.33772,0.12915,0.3125,0.18877,0.09614,1.91479,4.15541,1.65811,8.61831e-05,8.61831e-05,8.61831e-05
9,64.41,1.76406,3.04292,1.66777,0.09696,0.25,0.16135,0.10456,1.95315,4.01828,1.65125,9.5429e-05,9.5429e-05,9.5429e-05
10,71.8156,1.70231,2.9562,1.40429,0.47467,0.34375,0.37728,0.20061,2.00435,3.66912,1.70535,0.000104147,0.000104147,0.000104147
11,79.5566,1.42696,2.41834,1.26915,0.53127,0.35938,0.4291,0.24071,2.01281,3.34697,1.7078,0.000112336,0.000112336,0.000112336
12,87.1834,1.56896,2.81074,1.42941,0.51258,0.37707,0.44906,0.23764,2.01185,3.12826,1.7043,0.000119997,0.000119997,0.000119997
13,94.5665,1.32493,2.19059,1.23979,0.70333,0.36875,0.46762,0.23715,2.00526,2.95789,1.69042,0.00012713,0.00012713,0.00012713
14,102.001,1.33018,2.14223,1.26469,0.58886,0.36665,0.46979,0.24987,1.88118,2.95594,1.61201,0.000133735,0.000133735,0.000133735
15,109.445,1.69853,2.23046,1.40957,0.48512,0.48782,0.49599,0.249,1.79756,2.79008,1.55043,0.000139811,0.000139811,0.000139811
16,116.759,1.44645,2.14952,1.42068,0.52328,0.5157,0.49632,0.28253,1.72515,2.67489,1.51828,0.000145359,0.000145359,0.000145359
17,124.401,1.17644,2.24467,1.14107,0.70425,0.50007,0.53199,0.35696,1.59938,2.46515,1.45923,0.000150379,0.000150379,0.000150379
18,131.956,1.23792,1.83513,1.20241,0.68677,0.50706,0.54815,0.33003,1.53568,2.32073,1.41671,0.000154871,0.000154871,0.000154871
19,139.345,1.2243,2.28755,1.16651,0.75581,0.46688,0.55366,0.34198,1.5042,2.19994,1.40974,0.000158834,0.000158834,0.000158834
20,146.737,1.16092,2.69121,1.20825,0.73559,0.47078,0.5371,0.3404,1.54196,2.21569,1.41549,0.000162269,0.000162269,0.000162269
21,154.173,1.38303,1.99161,1.19933,0.7451,0.50751,0.56202,0.33534,1.49166,2.29355,1.38934,0.000165176,0.000165176,0.000165176
22,161.458,1.24871,2.3201,1.17938,0.74892,0.51991,0.5723,0.33593,1.44659,2.26366,1.35697,0.000167554,0.000167554,0.000167554
23,168.766,1.30581,2.36267,1.21534,0.7,0.53098,0.58856,0.35196,1.41063,2.14815,1.3318,0.000169405,0.000169405,0.000169405
24,176.09,1.35794,1.61292,1.14291,0.83026,0.49877,0.60315,0.36103,1.3896,2.03476,1.30225,0.000170727,0.000170727,0.000170727
25,183.534,1.15616,1.38279,1.15575,0.83288,0.48755,0.64043,0.38067,1.35612,1.98067,1.29147,0.00017152,0.00017152,0.00017152
26,190.967,1.35782,1.65116,1.18182,0.87877,0.49887,0.62911,0.39521,1.36111,1.99055,1.27768,0.000171786,0.000171786,0.000171786
27,198.211,1.34928,1.50033,1.16433,0.78915,0.54002,0.68899,0.39655,1.36407,2.03657,1.28191,0.000171523,0.000171523,0.000171523
28,205.59,1.19705,1.74997,1.06474,0.78915,0.54002,0.68899,0.39655,1.36407,2.03657,1.28191,0.000170732,0.000170732,0.000170732
29,212.969,1.16886,1.438,1.04944,0.83984,0.5359,0.62454,0.37517,1.34047,1.97957,1.27507,0.000169413,0.000169413,0.000169413
30,220.08,1.15331,1.20718,1.11173,0.84811,0.54304,0.64848,0.38802,1.32992,1.86437,1.23131,0.000167565,0.000167565,0.000167565
31,227.2,1.31435,1.82775,1.26315,0.84811,0.54304,0.64848,0.38802,1.32992,1.86437,1.23131,0.000165189,0.000165189,0.000165189
32,234.399,1.40711,1.78202,1.2147,0.8622,0.54149,0.67998,0.39694,1.35814,1.86273,1.25571,0.000162285,0.000162285,0.000162285
33,241.512,1.00365,1.27745,1.10745,0.85807,0.5503,0.70799,0.42353,1.36651,1.84241,1.28473,0.000158853,0.000158853,0.000158853
