epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86039,2.33531,6.46297,1.78565,0.42475,0.125,0.09593,0.05096,2.38951,4.31506,2.10814,0,0,0
2,13.4482,2.3197,6.60012,1.74668,0.55124,0.125,0.16305,0.09217,2.40388,4.26959,2.0857,6.53793e-06,6.53793e-06,6.53793e-06
3,19.9904,2.39058,6.32358,1.79787,0.57961,0.125,0.16957,0.0959,2.45985,4.24676,2.10026,1.28117e-05,1.28117e-05,1.28117e-05
4,26.5166,2.30338,5.83959,1.75367,0.59759,0.125,0.1779,0.10268,2.44606,4.19959,2.07321,1.88214e-05,1.88214e-05,1.88214e-05
5,33.3815,2.20655,5.52287,1.72219,0.72671,0.125,0.18234,0.11799,2.4099,4.14485,2.04265,2.45669e-05,2.45669e-05,2.45669e-05
6,40.7275,2.11702,4.8266,1.65395,0.72354,0.15674,0.18308,0.11675,2.3784,4.13769,2.01195,3.00483e-05,3.00483e-05,3.00483e-05
7,47.6426,2.24748,4.70463,1.66689,0.74841,0.1875,0.20417,0.11899,2.31688,4.19229,1.97223,3.52656e-05,3.52656e-05,3.52656e-05
8,55.1181,2.087,4.52486,1.59176,0.75229,0.1875,0.22369,0.13521,2.28725,4.28121,1.94679,4.02188e-05,4.02188e-05,4.02188e-05
9,62.6289,1.9959,3.99438,1.5752,0.49127,0.1875,0.24015,0.15099,2.23786,4.334,1.90608,4.49078e-05,4.49078e-05,4.49078e-05
10,70.2181,1.8668,4.05078,1.47452,0.35223,0.3753,0.28935,0.18519,2.18918,4.35121,1.87711,4.93327e-05,4.93327e-05,4.93327e-05
11,77.572,1.86911,3.55755,1.45541,0.61332,0.4066,0.29351,0.18164,2.1802,4.36543,1.87618,5.34934e-05,5.34934e-05,5.34934e-05
12,84.6248,1.77541,3.70284,1.40209,0.60058,0.3903,0.28685,0.19928,2.18025,4.29084,1.87597,5.739e-05,5.739e-05,5.739e-05
13,92.005,1.78606,3.48893,1.40462,0.56321,0.31258,0.29109,0.21374,2.1275,4.19055,1.86039,6.10225e-05,6.10225e-05,6.10225e-05
14,99.4477,1.67486,3.19736,1.33417,0.67965,0.3106,0.28497,0.2104,2.12287,4.07661,1.84778,6.43908e-05,6.43908e-05,6.43908e-05
15,106.441,1.78105,3.23886,1.34684,0.61315,0.375,0.33967,0.25188,2.1469,3.94453,1.83542,6.74951e-05,6.74951e-05,6.74951e-05
16,113.912,1.76693,3.14637,1.43148,0.48678,0.32312,0.38175,0.28828,2.08079,3.79998,1.78023,7.03351e-05,7.03351e-05,7.03351e-05
17,120.911,1.46623,2.6644,1.28961,0.67147,0.29589,0.40744,0.28853,2.0268,3.63907,1.73619,7.29111e-05,7.29111e-05,7.29111e-05
18,127.996,1.48161,2.71295,1.33671,0.67147,0.29589,0.40744,0.28853,2.0268,3.63907,1.73619,7.52229e-05,7.52229e-05,7.52229e-05
19,135.307,1.38897,2.62446,1.25978,0.84119,0.33194,0.4367,0.26682,1.92426,3.47381,1.65648,7.72706e-05,7.72706e-05,7.72706e-05
20,142.309,1.31609,2.41407,1.19128,0.84119,0.33194,0.4367,0.26682,1.92426,3.47381,1.65648,7.90542e-05,7.90542e-05,7.90542e-05
21,149.572,1.39975,2.51801,1.23876,0.84739,0.33671,0.44427,0.26489,1.91049,3.33495,1.62606,8.05736e-05,8.05736e-05,8.05736e-05
22,156.885,1.40103,2.35637,1.23525,0.84739,0.33671,0.44427,0.26489,1.91049,3.33495,1.62606,8.18289e-05,8.18289e-05,8.18289e-05
23,164.401,1.45936,2.5123,1.24894,0.70651,0.3712,0.4843,0.27099,1.74994,3.08264,1.5281,8.28201e-05,8.28201e-05,8.28201e-05
24,171.59,1.44842,2.33928,1.27433,0.70651,0.3712,0.4843,0.27099,1.74994,3.08264,1.5281,8.35471e-05,8.35471e-05,8.35471e-05
25,178.624,1.35007,2.16622,1.19924,0.71471,0.4125,0.48551,0.28499,1.75459,2.8919,1.50959,8.401e-05,8.401e-05,8.401e-05
